"","Scenario","Node","Cladophora_Adult","SAS_Adult","SAS_fry","SAS_juvenile","Steelhead_Migration","Steelhead_Prolonged","Steelhead_Smolts","Typha_Adult","Typha_Seedling","Willow_Germination"
"102",51,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"103",52,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"104",52,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"105",53,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"106",53,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"107",54,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"108",54,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"109",55,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"110",55,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"111",56,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"112",56,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"113",57,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"114",57,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"115",58,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"116",58,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"117",59,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"118",59,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"119",60,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"120",60,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"121",61,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"122",61,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"123",62,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"124",62,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"125",63,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"126",63,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"127",64,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"128",64,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"129",65,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"130",65,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"131",66,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"132",66,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"133",67,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"134",67,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"135",68,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"136",68,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"137",69,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"138",69,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"139",70,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"140",70,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"141",71,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"142",71,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"143",72,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"144",72,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"145",73,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"146",73,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"147",74,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"148",74,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"149",75,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"150",75,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"151",76,"GLEN","Low","Partial","Partial","Partial","Low","Low","High","Partial","Partial","Low"
"152",76,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"153",77,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"154",77,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"155",78,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"156",78,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"157",79,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"158",79,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"159",80,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"160",80,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"161",81,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"162",81,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"163",82,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"164",82,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"165",83,"GLEN","Low","Partial","Partial","Partial","Low","Low","High","Partial","Partial","Low"
"166",83,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"167",84,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"168",84,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"169",85,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"170",85,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"171",86,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"172",86,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"173",87,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"174",87,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"175",88,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"176",88,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"177",89,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"178",89,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"179",90,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"180",90,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"181",91,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"182",91,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"183",92,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"184",92,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"185",93,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"186",93,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"187",94,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"188",94,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"189",95,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"190",95,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"191",96,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"192",96,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"193",97,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"194",97,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"195",98,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"196",98,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"197",99,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"198",99,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"199",100,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"200",100,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"201",101,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"202",101,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"203",102,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"204",102,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"205",103,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"206",103,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"207",104,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"208",104,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"209",105,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"210",105,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"211",106,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"212",106,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"213",107,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"214",107,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"215",108,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"216",108,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"217",109,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"218",109,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"219",110,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"220",110,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"221",111,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"222",111,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"223",112,"GLEN","Low","Partial","Partial","Partial","Low","Low","High","Partial","Partial","Low"
"224",112,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"225",113,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"226",113,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"227",114,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"228",114,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"229",115,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"230",115,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"231",116,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"232",116,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"233",117,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"234",117,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"235",118,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"236",118,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"237",119,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"238",119,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"239",120,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"240",120,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"241",121,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"242",121,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"243",122,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"244",122,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"245",123,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"246",123,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"247",124,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"248",124,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"249",125,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"250",125,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"251",126,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"252",126,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"253",127,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"254",127,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"255",128,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"256",128,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"257",129,"GLEN","Low","Partial","Partial","Partial","Partial","Partial","Partial","Partial","Partial","Low"
"258",129,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"259",130,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"260",130,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"261",131,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"262",131,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"263",132,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"264",132,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"265",133,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"266",133,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"267",134,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"268",134,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"269",135,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"270",135,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"271",136,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"272",136,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"273",137,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"274",137,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"275",138,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"276",138,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"277",139,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"278",139,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"279",140,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"280",140,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"281",141,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"282",141,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"283",142,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"284",142,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"285",143,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"286",143,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"287",144,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"288",144,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"289",145,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"290",145,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"291",146,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"292",146,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"293",147,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"294",147,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"295",148,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"296",148,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"297",149,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"298",149,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"299",150,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"300",150,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"301",151,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"302",151,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"303",152,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"304",152,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"305",153,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"306",153,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"307",154,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"308",154,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"309",155,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"310",155,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"311",156,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"312",156,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"313",157,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"314",157,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"315",158,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"316",158,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"317",159,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"318",159,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"319",160,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"320",160,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"321",161,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"322",161,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"323",162,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"324",162,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"325",163,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"326",163,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"327",164,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"328",164,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"329",165,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"330",165,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"331",166,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"332",166,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
